Date;NAT_DISASTERS;GZ_SPREAD;MORTGAGE_SPREADS
01/05/1980;0;0,98;4,082
01/06/1980;5961,9;0,94;2,93
01/07/1980;5961,9;0,95;1,9425
01/08/1980;8068,3;0,89;1,46
01/09/1980;5961,9;0,94;1,6875
01/10/1980;5961,9;0,92;2,042
01/11/1980;5961,9;0,99;1,525
01/12/1980;0;1,12;1,95
01/01/1981;1824,7;1,08;2,334
01/02/1981;0;0,88;1,9425
01/03/1981;0;0,87;2,28
01/04/1981;0;1,13;1,9
01/05/1981;1280,5;1,2;2,302
01/06/1981;0;1,09;3,225
01/07/1981;0;1,1;2,552
01/08/1981;0;1,03;2,345
01/09/1981;0;1,16;2,84
01/10/1981;0;1,38;3,304
01/11/1981;0;1,46;4,435
01/12/1981;0;1,48;3,226
01/01/1982;1953;1,47;2,895
01/02/1982;0;1,44;3,1675
01/03/1982;0;1,61;3,3
01/04/1982;1425,1;1,63;3,022
01/05/1982;1416;1,51;3,0575
01/06/1982;0;1,54;2,3975
01/07/1982;0;1,62;2,866
01/08/1982;0;1,75;3,21
01/09/1982;0;1,64;3,09
01/10/1982;0;1,81;3,698
01/11/1982;0;1,57;3,275
01/12/1982;5637,38;1,6;3,084
01/01/1983;1105,98;1,27;2,7875
01/02/1983;1105,98;1,32;2,3225
01/03/1983;1105,98;0,99;2,29
01/04/1983;0;0,94;2,382
01/05/1983;0;0,86;2,2525
01/06/1983;2806,03;0,84;2,02
01/07/1983;2806,03;0,87;2,042
01/08/1983;11326,03;0,81;1,96
01/09/1983;0;0,89;2,076
01/10/1983;0;0,86;1,995
01/11/1983;0;0,91;1,745
01/12/1983;5696,8;0,94;1,59
01/01/1984;0;0,89;1,6975
01/02/1984;0;0,87;1,3925
01/03/1984;1646,4;0,93;1,066
01/04/1984;0;0,94;1,0225
01/05/1984;0;0,74;0,5325
01/06/1984;1218,1;0,75;0,856
01/07/1984;0;0,91;1,3075
01/08/1984;0;0,94;1,75
01/09/1984;0;0,91;1,83
01/10/1984;0;0,98;1,97
01/11/1984;0;0,94;2,068
01/12/1984;0;0,97;1,68
01/01/1985;5357,2;1,09;1,695
01/02/1985;0;0,94;1,41
01/03/1985;0;0,99;1,31
01/04/1985;0;1,07;1,765
01/05/1985;0;1,22;2,064
01/06/1985;0;1,2;2,055
01/07/1985;0;1,17;1,7225
01/08/1985;3412,1;1,2;1,856
01/09/1985;2251,6;1,17;1,8225
01/10/1985;3936,3;1,3;1,895
01/11/1985;3570;1,35;2,004
01/12/1985;0;1,45;2
01/01/1986;0;1,42;1,696
01/02/1986;1345,8;1,63;2,01
01/03/1986;0;2,08;2,3
01/04/1986;0;1,99;2,6375
01/05/1986;0;1,66;2,434
01/06/1986;1527,07;1,97;2,8825
01/07/1986;1527,07;2,16;3,2075
01/08/1986;1527,07;2,34;3,03
01/09/1986;0;1,98;2,5575
01/10/1986;0;2,02;2,544
01/11/1986;0;2,12;2,445
01/12/1986;0;2,03;2,2
01/01/1987;0;1,91;2,124
01/02/1987;0;2;1,8325
01/03/1987;0;1,93;1,785
01/04/1987;0;1,8;1,8125
01/05/1987;0;1,77;1,986
01/06/1987;0;1,73;2,1375
01/07/1987;0;1,69;1,828
01/08/1987;0;1,63;1,57
01/09/1987;0;1,59;1,4675
01/10/1987;0;1,74;1,74
01/11/1987;0;1,71;1,79
01/12/1987;0;1,67;1,65
01/01/1988;0;1,76;1,7125
01/02/1988;0;1,7;1,6825
01/03/1988;0;1,6;1,56
01/04/1988;0;1,49;1,482
01/05/1988;0;1,5;1,365
01/06/1988;16003,07;1,56;1,54
01/07/1988;16003,07;1,46;1,372
01/08/1988;16003,07;1,49;1,3375
01/09/1988;0;1,55;1,5
01/10/1988;0;1,73;1,5025
01/11/1988;0;1,63;1,305
01/12/1988;0;1,63;1,502
01/01/1989;0;1,73;1,64
01/02/1989;0;1,57;1,475
01/03/1989;0;1,65;1,672
01/04/1989;0;1,71;1,87
01/05/1989;1268,5;1,77;1,9125
01/06/1989;1151,22;1,98;1,916
01/07/1989;1151,22;2,11;1,8625
01/08/1989;1151,22;1,95;1,875
01/09/1989;21851,02;1,74;1,936
01/10/1989;1151,22;1,7;1,9375
01/11/1989;1151,22;1,64;1,8975
01/12/1989;6164,3;1,56;1,904
01/01/1990;0;1,46;1,685
01/02/1990;0;1,43;1,7275
01/03/1990;0;1,43;1,678
01/04/1990;0;1,35;1,58
01/05/1990;2195,1;1,2;1,7175
01/06/1990;0;1,22;1,684
01/07/1990;1787,7;1,16;1,565
01/08/1990;0;1,13;1,35
01/09/1990;0;1,13;1,285
01/10/1990;0;1,44;1,4575
01/11/1990;0;1,56;1,624
01/12/1990;7412;1,57;1,5925
01/01/1991;0;1,6;1,5475
01/02/1991;0;1,41;1,515
01/03/1991;2361,52;1,37;1,39
01/04/1991;1032,92;1,36;1,4525
01/05/1991;1032,92;1,31;1,402
01/06/1991;1032,92;1,28;1,335
01/07/1991;1032,92;1,39;1,305
01/08/1991;4129,02;1,3;1,344
01/09/1991;0;1,39;1,3575
01/10/1991;6798;1,37;1,325
01/11/1991;0;1,35;1,292
01/12/1991;0;1,54;1,4075
01/01/1992;0;1,33;1,402
01/02/1992;0;1,28;1,4225
01/03/1992;1616,8;1,21;1,395
01/04/1992;1918,4;1,21;1,3725
01/05/1992;0;1,22;1,282
01/06/1992;1503,5;1,19;1,25
01/07/1992;0;1,25;1,288
01/08/1992;54270;1,43;1,385
01/09/1992;6231;1,54;1,5025
01/10/1992;0;1,45;1,498
01/11/1992;1320,6;1,29;1,435
01/12/1992;4990,8;1,38;1,436
01/01/1993;0;1,39;1,3925
01/02/1993;0;1,41;1,4225
01/03/1993;10777,9;1,36;1,515
01/04/1993;0;1,41;1,502
01/05/1993;0;1,33;1,425
01/06/1993;21254,58;1,32;1,4575
01/07/1993;22491,08;1,29;1,396
